trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
5 1015 2 0 0 0 30 467 1.95 0 1
6 1015 2 0 0 0 9 142 3.22 0 1
7 1015 2 0 0 0 3 33 2.97 0 1
8 1015 2 0 0 0 15 227 2.67 0 1
9 1015 2 0 0 0 25 391 1.73 0 1
10 1015 2 0 0 0 20 318 2.58 0 1
11 1015 2 0 0 0 4 50 2.73 0 1
12 1015 2 0 0 0 18 279 1.97 0 1
13 1015 2 0 0 0 18 284 1.92 0 1
14 1015 2 0 0 0 28 447 7.79 1 1
15 1015 2 0 0 0 3 42 2.84 0 1
16 1015 2 0 0 0 2 24 2.31 0 1
17 1015 2 0 0 0 29 459 1.82 0 1
18 1015 2 0 0 0 10 152 1.38 0 1
19 1015 2 0 0 0 29 456 1.5 0 1
20 1015 2 0 0 0 10 154 2.88 0 1
21 1015 2 0 0 0 7 107 7.11 1 1
22 1015 2 0 0 0 25 385 1.43 0 1
23 1015 2 0 0 0 29 452 1.8 0 1
24 1015 2 0 0 0 13 202 3.09 0 1
25 1015 2 0 0 0 9 129 3.25 0 1
26 1015 2 0 0 0 28 445 7.58 1 1
27 1015 2 0 0 0 20 314 1.94 0 1
28 1015 2 0 0 0 30 466 2.9 0 1
29 1015 2 0 0 0 17 269 2.8 0 1
30 1015 2 0 0 0 4 60 2.6 0 1
31 1015 2 0 0 0 1 3 3.17 0 1
32 1015 2 0 0 0 6 86 8.01 1 1
33 1015 2 0 0 0 15 238 3.31 0 1
34 1015 2 0 0 0 24 382 6.86 1 1
35 1015 2 0 0 0 4 62 2.95 0 1
36 1015 2 0 0 0 8 125 7.28 1 1
37 1015 2 0 0 0 15 226 3.2 0 1
38 1015 2 0 0 0 7 99 7.24 1 1
39 1015 2 0 0 0 3 47 3.05 0 1
40 1015 2 0 0 0 30 471 2.73 0 1
41 1015 2 0 0 0 1 9 2.49 0 1
42 1015 2 0 0 0 2 29 2.68 0 1
43 1015 2 0 0 0 13 207 3.11 0 1
44 1015 2 0 0 0 17 258 2.89 0 1
45 1015 2 0 0 0 10 149 3.02 0 1
46 1015 2 0 0 0 17 261 2.14 0 1
47 1015 2 0 0 0 25 400 1.71 0 1
48 1015 2 0 0 0 1 4 3.18 0 1
49 1015 2 0 0 0 2 26 2.76 0 1
50 1015 2 0 0 0 18 287 2.19 0 1
1 1018 1 0 0 0 18 285 2.27 0 0
2 1018 1 0 0 0 24 373 7.32 1 0
3 1018 1 0 0 0 15 230 3.4 0 0
4 1018 1 0 0 0 15 240 2.57 0 0
5 1018 1 0 0 0 13 197 2.97 0 0
6 1018 1 0 0 0 4 56 3.02 0 0
7 1018 1 0 0 0 9 139 1.74 0 0
8 1018 1 0 0 0 20 319 2.13 0 0
9 1018 1 0 0 0 13 205 3.26 0 0
10 1018 1 0 0 0 2 18 1.84 0 0
11 1018 1 0 0 0 9 140 2.97 0 0
12 1018 1 0 0 0 7 106 7.66 1 0
13 1018 1 0 0 0 27 420 7.61 1 0
14 1018 1 0 0 0 28 433 7.18 1 0
15 1018 1 0 0 0 3 36 2.98 0 0
16 1018 1 0 0 0 25 397 1.77 0 0
17 1018 1 0 0 0 4 59 1.99 0 0
18 1018 1 0 0 0 10 160 2.19 0 0
19 1018 1 0 0 0 2 25 1.89 0 0
20 1018 1 0 0 0 30 476 2.48 0 0
21 1018 1 0 0 0 20 315 2.75 0 0
22 1018 1 0 0 0 20 307 1.87 0 0
23 1018 1 0 0 0 25 396 1.85 0 0
24 1018 1 0 0 0 30 472 2.55 0 0
25 1018 1 0 0 0 15 228 3.15 0 0
26 1018 1 0 0 0 1 6 3.17 0 0
27 1018 1 0 0 0 9 136 3.1 0 0
28 1018 1 0 0 0 30 465 2.7 0 0
29 1018 1 0 0 0 4 64 2.52 0 0
30 1018 1 0 0 0 1 8 1.95 0 0
31 1018 1 0 0 0 10 158 2.59 0 0
32 1018 1 0 0 0 18 277 2.23 0 0
33 1018 1 0 0 0 10 155 1.73 0 0
34 1018 1 0 0 0 6 85 7.32 1 0
35 1018 1 0 0 0 17 266 2.6 0 0
36 1018 1 0 0 0 18 280 2.15 0 0
37 1018 1 0 0 0 7 112 7.03 1 0
38 1018 1 0 0 0 13 198 2.65 0 0
39 1018 1 0 0 0 29 451 1.86 0 0
40 1018 1 0 0 0 25 398 1.43 0 0
41 1018 1 0 0 0 22 347 6.7 1 0
42 1018 1 0 0 0 2 17 1.92 0 0
43 1018 1 0 0 0 29 464 1.93 0 0
44 1018 1 0 0 0 17 259 2.5 0 0
45 1018 1 0 0 0 1 10 3.15 0 0
46 1018 1 0 0 0 3 37 3.08 0 0
47 1018 1 0 0 0 29 463 2.0 0 0
48 1018 1 0 0 0 3 35 3.14 0 0
49 1018 1 0 0 0 23 362 7.17 1 0
50 1018 1 0 0 0 17 263 2.59 0 0
1 1031 2 0 0 0 1 9 2.49 0 1
2 1031 2 0 0 0 20 314 1.94 0 1
3 1031 2 0 0 0 3 33 2.97 0 1
4 1031 2 0 0 0 10 149 3.02 0 1
5 1031 2 0 0 0 18 284 1.92 0 1
6 1031 2 0 0 0 3 42 2.84 0 1
7 1031 2 0 0 0 4 60 2.6 0 1
8 1031 2 0 0 0 9 129 3.25 0 1
9 1031 2 0 0 0 1 4 3.18 0 1
10 1031 2 0 0 0 17 269 2.8 0 1
11 1031 2 0 0 0 30 471 2.73 0 1
