image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
258 0 2 14 9 1 2.89 0 0.6333333333333333 1 0.7639377798409452
259 0 1 18 12 1 2.5 0 0.6578947368421053 1 0.7019323516047309
259 0 2 14 8 0 2.5 0 0.5666666666666667 0 0.4980374766373683
261 0 1 18 13 0 2.14 0 0.7105263157894737 0 0.5958943803658796
261 0 2 14 9 1 2.14 0 0.6333333333333333 1 0.7130457297066359
263 0 1 18 11 1 2.59 0 0.6052631578947368 1 0.6473570817579688
263 0 2 14 8 0 2.59 0 0.5666666666666667 0 0.4476278993192756
266 0 1 18 13 1 2.6 0 0.7105263157894737 1 0.7162058370801558
266 0 2 14 4 0 2.6 0 0.3 0 0.5987043700626881
269 0 1 18 14 0 2.8 0 0.7631578947368421 0 0.5941587668182785
269 0 2 14 9 1 2.8 0 0.6333333333333333 1 0.6944612632013747
277 0 1 18 15 1 2.23 0 0.8157894736842105 1 0.7491093258394167
277 0 2 14 7 0 2.23 0 0.5 0 0.5664871197982806
279 0 1 18 8 0 1.97 0 0.4473684210526316 0 0.6044280516480465
279 0 2 14 12 1 1.97 0 0.8333333333333334 1 0.7216399465488844
280 0 1 18 15 1 2.15 0 0.8157894736842105 1 0.7729318650051827
280 0 2 14 10 0 2.15 0 0.7 0 0.6453839595043463
284 0 1 18 10 0 1.92 0 0.5526315789473685 0 0.5434471667415203
284 0 2 14 7 1 1.92 0 0.5 1 0.6774918998439313
285 0 1 18 14 1 2.27 0 0.7631578947368421 1 0.7066190637337775
285 0 2 14 5 0 2.27 0 0.3666666666666666 0 0.5387469878328742
287 0 1 18 11 0 2.19 0 0.6052631578947368 0 0.5998264989076116
287 0 2 14 12 1 2.19 0 0.8333333333333334 1 0.6626042282239654
307 0 1 18 15 1 1.87 0 0.8157894736842105 1 0.7628533442597307
307 0 2 14 9 0 1.87 0 0.6333333333333333 0 0.6491827808946032
308 0 1 18 17 0 2.2 0 0.9210526315789472 0 0.6702822007237653
308 0 2 14 11 1 2.2 0 0.7666666666666667 1 0.753101123639618
314 0 1 18 12 0 1.94 0 0.6578947368421053 0 0.7075671719263809
314 0 2 14 13 1 1.94 0 0.9 1 0.7585999452364549
315 0 1 18 12 1 2.75 0 0.6578947368421053 1 0.6907809561538873
315 0 2 14 7 0 2.75 0 0.5 0 0.5748134960701936
318 0 1 18 12 0 2.58 0 0.6578947368421053 0 0.6537171700903344
318 0 2 14 11 1 2.58 0 0.7666666666666667 1 0.7470065414785372
319 0 1 18 14 1 2.13 0 0.7631578947368421 1 0.7323092915171382
319 0 2 14 12 0 2.13 0 0.8333333333333334 0 0.679842850696399
347 0 1 18 11 1 6.7 1 0.6052631578947368 1 0.657621243911068
347 0 2 14 1 0 6.7 1 0.1 0 0.0934227908070499
362 0 1 18 12 1 7.17 1 0.6578947368421053 1 0.6760024795290237
362 0 2 14 1 0 7.17 1 0.1 0 0.1485983253698556
365 0 1 18 1 0 6.57 1 0.0789473684210526 0 0.1106629780026958
365 0 2 14 13 1 6.57 1 0.9 1 0.692830340236865
373 0 1 18 12 1 7.32 1 0.6578947368421053 1 0.6765418371853578
373 0 2 14 2 0 7.32 1 0.1666666666666666 0 0.1594152474420616
382 0 1 18 1 0 6.86 1 0.0789473684210526 0 0.0908285995573473
382 0 2 14 9 1 6.86 1 0.6333333333333333 1 0.7021710168331337
385 0 1 18 5 0 1.43 0 0.2894736842105263 0 0.6057336166710181
385 0 2 14 6 1 1.43 0 0.4333333333333333 1 0.7034694575597139
391 0 1 18 14 0 1.73 0 0.7631578947368421 0 0.7087630206157611
391 0 2 14 7 1 1.73 0 0.5 1 0.7400086167309122
396 0 1 18 11 1 1.85 0 0.6052631578947368 1 0.7545873551179397
396 0 2 14 8 0 1.85 0 0.5666666666666667 0 0.6581319417309401
397 0 1 18 16 1 1.77 0 0.868421052631579 1 0.7393066014381291
397 0 2 14 11 0 1.77 0 0.7666666666666667 0 0.5440260191405905
398 0 1 18 10 1 1.43 0 0.5526315789473685 1 0.6982457917956573
398 0 2 14 9 0 1.43 0 0.6333333333333333 0 0.6185332049556825
400 0 1 18 8 0 1.71 0 0.4473684210526316 0 0.6209341080649744
400 0 2 14 6 1 1.71 0 0.4333333333333333 1 0.7092934206128356
420 0 1 18 11 1 7.61 1 0.6052631578947368 1 0.6992243319896067
420 0 2 14 3 0 7.61 1 0.2333333333333333 0 0.2566189810555324
433 0 1 18 14 1 7.18 1 0.7631578947368421 1 0.6850894339281328
433 0 2 14 5 0 7.18 1 0.3666666666666666 0 0.2073606025254142
445 0 1 18 0 0 7.58 1 0.0263157894736842 0 0.1335110933995477
445 0 2 14 9 1 7.58 1 0.6333333333333333 1 0.7279686583545075
447 0 1 18 4 0 7.79 1 0.2368421052631578 0 0.1577363194649448
447 0 2 14 13 1 7.79 1 0.9 1 0.733179353868924
451 0 1 18 14 1 1.86 0 0.7631578947368421 1 0.6726158754098333
451 0 2 14 5 0 1.86 0 0.3666666666666666 0 0.5628412651375172
452 0 1 18 11 0 1.8 0 0.6052631578947368 0 0.59440344145888
452 0 2 14 9 1 1.8 0 0.6333333333333333 1 0.7157035213082515
456 0 1 18 6 0 1.5 0 0.3421052631578947 0 0.4601310027369869
456 0 2 14 10 1 1.5 0 0.7 1 0.6472033727116212
459 0 1 18 15 0 1.82 0 0.8157894736842105 0 0.6511095193112129
459 0 2 14 10 1 1.82 0 0.7 1 0.7187667135249493
463 0 1 18 8 1 2.0 0 0.4473684210526316 1 0.6166935061405403
463 0 2 14 6 0 2.0 0 0.4333333333333333 0 0.4444418690368105
464 0 1 18 11 1 1.93 0 0.6052631578947368 1 0.6065487594494291
464 0 2 14 6 0 1.93 0 0.4333333333333333 0 0.3672692635409783
465 0 1 18 10 1 2.7 0 0.5526315789473685 1 0.6883965511088316
465 0 2 14 4 0 2.7 0 0.3 0 0.539432049772415
466 0 1 18 6 0 2.9 0 0.3421052631578947 0 0.5143064466577717
466 0 2 14 5 1 2.9 0 0.3666666666666666 1 0.6987680620524083
467 0 1 18 11 0 1.95 0 0.6052631578947368 0 0.4868957529089315
467 0 2 14 11 1 1.95 0 0.7666666666666667 1 0.6458579939510409
471 0 1 18 8 0 2.73 0 0.4473684210526316 0 0.6105721872771648
471 0 2 14 8 1 2.73 0 0.5666666666666667 1 0.717802182925381
472 0 1 18 14 1 2.55 0 0.7631578947368421 1 0.6624785760861217
472 0 2 14 6 0 2.55 0 0.4333333333333333 0 0.4750968965952209
476 0 1 18 14 1 2.48 0 0.7631578947368421 1 0.6847863648146247
476 0 2 14 8 0 2.48 0 0.5666666666666667 0 0.5471183985461331
