trial_index,subject_id,group,task,item_type,category_name,category,broad_category,image_png,image_id,distinct_rating,good_subj
212,90229,Group2,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_14.png,430,7.01,True
214,90229,Group2,memory_phase,,Gneiss,13,M,M_Gneiss_10.png,202,3.09,True
216,90229,Group2,memory_phase,,Pumice,9,I,I_Pumice_16.png,144,5.37,True
218,90229,Group2,memory_phase,,Andesite,1,I,I_Andesite_12.png,12,3.75,True
220,90229,Group2,memory_phase,,Chert,23,S,S_Chert_14.png,366,4.5,True
222,90229,Group2,memory_phase,,Marble,15,M,M_Marble_08.png,232,4.35,True
224,90229,Group2,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_11.png,427,4.73,True
226,90229,Group2,memory_phase,,Rock Salt,28,S,S_Rock Salt_16.png,448,6.23,True
228,90229,Group2,memory_phase,,Conglomerate,24,S,S_Conglomerate_04.png,372,5.91,True
230,90229,Group2,memory_phase,,Quartzite,18,M,M_Quartzite_15.png,287,2.19,True
232,90229,Group2,memory_phase,,Bituminous Coal,21,S,S_Bituminous Coal_06.png,326,3.4,True
234,90229,Group2,memory_phase,,Gabbro,4,I,I_Gabbro_03.png,51,3.48,True
236,90229,Group2,memory_phase,,Marble,15,M,M_Marble_05.png,229,4.1,True
238,90229,Group2,memory_phase,,Diorite,3,I,I_Diorite_04.png,36,2.98,True
240,90229,Group2,memory_phase,,Shale,30,S,S_Shale_03.png,467,1.95,True
242,90229,Group2,memory_phase,,Pegmatite,7,I,I_Pegmatite_05.png,101,6.22,True
244,90229,Group2,memory_phase,,Breccia,22,S,S_Breccia_05.png,341,6.25,True
246,90229,Group2,memory_phase,,Pumice,9,I,I_Pumice_08.png,136,3.1,True
6,87372,Group1,memory_phase,,Diorite,3,I,I_Diorite_12.png,44,3.55,True
8,87372,Group1,memory_phase,,Schist,19,M,M_Schist_12.png,300,4.27,True
10,87372,Group1,memory_phase,,Quartzite,18,M,M_Quartzite_04.png,276,3.06,True
12,87372,Group1,memory_phase,,Schist,19,M,M_Schist_05.png,293,3.66,True
14,87372,Group1,memory_phase,,Gabbro,4,I,I_Gabbro_10.png,58,3.11,True
16,87372,Group1,memory_phase,,Migmatite,16,M,M_Migmatite_12.png,252,4.03,True
18,87372,Group1,memory_phase,,Granite,5,I,I_Granite_06.png,70,3.73,True
20,87372,Group1,memory_phase,,Anthracite,12,M,M_Anthracite_07.png,183,4.27,True
22,87372,Group1,memory_phase,,Basalt,2,I,I_Basalt_04.png,20,2.47,True
24,87372,Group1,memory_phase,,Obsidian,6,I,I_Obsidian_13.png,93,4.85,True
26,87372,Group1,memory_phase,,Shale,30,S,S_Shale_01.png,465,2.7,True
28,87372,Group1,memory_phase,,Dolomite,25,S,S_Dolomite_10.png,394,3.57,True
30,87372,Group1,memory_phase,,Basalt,2,I,I_Basalt_03.png,19,2.94,True
32,87372,Group1,memory_phase,,Micrite,26,S,S_Micrite_15.png,415,2.28,True
34,87372,Group1,memory_phase,,Hornfels,14,M,M_Hornfels_10.png,218,2.88,True
36,87372,Group1,memory_phase,,Sandstone,29,S,S_Sandstone_03.png,451,1.86,True
38,87372,Group1,memory_phase,,Breccia,22,S,S_Breccia_12.png,348,5.03,True
40,87372,Group1,memory_phase,,Migmatite,16,M,M_Migmatite_14.png,254,4.62,True
42,87372,Group1,memory_phase,,Amphibolite,11,M,M_Amphibolite_03.png,163,6.58,True
44,87372,Group1,memory_phase,,Marble,15,M,M_Marble_01.png,225,4.1,True
46,87372,Group1,memory_phase,,Hornfels,14,M,M_Hornfels_05.png,213,3.12,True
48,87372,Group1,memory_phase,,Amphibolite,11,M,M_Amphibolite_14.png,174,3.65,True
50,87372,Group1,memory_phase,,Peridotite,8,I,I_Peridotite_04.png,116,6.39,True
52,87372,Group1,memory_phase,,Diorite,3,I,I_Diorite_08.png,40,4.94,True
54,87372,Group1,memory_phase,,Obsidian,6,I,I_Obsidian_05.png,85,7.32,True
