image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
258 0 1 65 24 0 2.89 0 0.3712121212121212 0 0.6436223070114585
258 0 2 61 31 1 2.89 0 0.5080645161290323 1 0.7465668064737204
258 1 1 50 22 0 2.89 0 0.4411764705882353 0 0.6436223070114585
258 1 2 56 41 1 2.89 0 0.7280701754385965 1 0.7465668064737204
259 0 1 65 32 1 2.5 0 0.4924242424242424 1 0.6818423019044443
259 0 2 61 23 0 2.5 0 0.3790322580645161 0 0.5162701264061955
259 1 1 50 29 1 2.5 0 0.5784313725490197 1 0.6818423019044443
259 1 2 56 22 0 2.5 0 0.3947368421052631 0 0.5162701264061955
261 0 1 65 33 0 2.14 0 0.5075757575757576 0 0.5328327016468911
261 0 2 61 48 1 2.14 0 0.782258064516129 1 0.6957614888069203
261 1 1 50 35 0 2.14 0 0.696078431372549 0 0.5328327016468911
261 1 2 56 35 1 2.14 0 0.6228070175438597 1 0.6957614888069203
263 0 1 65 43 1 2.59 0 0.6590909090909091 1 0.6335475764732553
263 0 2 61 40 0 2.59 0 0.6532258064516129 0 0.4704270766247202
263 1 1 50 37 1 2.59 0 0.7352941176470589 1 0.6335475764732553
263 1 2 56 38 0 2.59 0 0.6754385964912281 0 0.4704270766247202
266 0 1 65 25 1 2.6 0 0.3863636363636363 1 0.6982246328572886
266 0 2 61 23 0 2.6 0 0.3790322580645161 0 0.5997167640603461
266 1 1 50 25 1 2.6 0 0.5 1 0.6982246328572886
266 1 2 56 16 0 2.6 0 0.2894736842105263 0 0.5997167640603461
269 0 1 65 35 0 2.8 0 0.5378787878787878 0 0.5407521093658001
269 0 2 61 44 1 2.8 0 0.717741935483871 1 0.6805656343490489
269 1 1 50 26 0 2.8 0 0.5196078431372549 0 0.5407521093658001
269 1 2 56 42 1 2.8 0 0.7456140350877193 1 0.6805656343490489
277 0 1 65 50 1 2.23 0 0.7651515151515151 1 0.7259863802078409
277 0 2 61 29 0 2.23 0 0.4758064516129032 0 0.5757139147700042
277 1 1 50 36 1 2.23 0 0.7156862745098039 1 0.7259863802078409
277 1 2 56 38 0 2.23 0 0.6754385964912281 0 0.5757139147700042
279 0 1 65 33 0 1.97 0 0.5075757575757576 0 0.5398109842274127
279 0 2 61 39 1 1.97 0 0.6370967741935484 1 0.7051100922723972
279 1 1 50 22 0 1.97 0 0.4411764705882353 0 0.5398109842274127
279 1 2 56 33 1 1.97 0 0.5877192982456141 1 0.7051100922723972
280 0 1 65 54 1 2.15 0 0.8257575757575758 1 0.7501058236342374
280 0 2 61 45 0 2.15 0 0.7338709677419355 0 0.6408838457867034
280 1 1 50 39 1 2.15 0 0.7745098039215687 1 0.7501058236342374
280 1 2 56 41 0 2.15 0 0.7280701754385965 0 0.6408838457867034
284 0 1 65 36 0 1.92 0 0.553030303030303 0 0.4707248408452818
