trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
15 291 1 0 0 0 4 64 2.52 0 1
16 291 1 0 0 0 17 266 2.6 0 1
17 291 1 0 0 0 15 228 3.15 0 1
18 291 1 0 0 0 15 230 3.4 0 1
19 291 1 0 0 0 30 465 2.7 0 1
20 291 1 0 0 0 17 259 2.5 0 1
21 291 1 0 0 0 20 319 2.13 0 1
22 291 1 0 0 0 3 35 3.14 0 1
23 291 1 0 0 0 18 280 2.15 0 1
24 291 1 0 0 0 29 451 1.86 0 1
25 291 1 0 0 0 13 197 2.97 0 1
26 291 1 0 0 0 9 139 1.74 0 1
27 291 1 0 0 0 17 263 2.59 0 1
28 291 1 0 0 0 2 25 1.89 0 1
29 291 1 0 0 0 13 198 2.65 0 1
30 291 1 0 0 0 1 10 3.15 0 1
31 291 1 0 0 0 4 56 3.02 0 1
32 291 1 0 0 0 13 205 3.26 0 1
33 291 1 0 0 0 1 8 1.95 0 1
34 291 1 0 0 0 2 17 1.92 0 1
35 291 1 0 0 0 29 463 2.0 0 1
36 291 1 0 0 0 29 464 1.93 0 1
37 291 1 0 0 0 25 396 1.85 0 1
38 291 1 0 0 0 20 307 1.87 0 1
39 291 1 0 0 0 3 37 3.08 0 1
40 291 1 0 0 0 9 136 3.1 0 1
41 291 1 0 0 0 18 285 2.27 0 1
42 291 1 0 0 0 20 315 2.75 0 1
43 291 1 0 0 0 30 476 2.48 0 1
44 291 1 0 0 0 9 140 2.97 0 1
45 291 1 0 0 0 30 472 2.55 0 1
46 291 1 0 0 0 3 36 2.98 0 1
47 291 1 0 0 0 24 373 7.32 1 1
48 291 1 0 0 0 7 112 7.03 1 1
49 291 1 0 0 0 18 277 2.23 0 1
50 291 1 0 0 0 10 160 2.19 0 1
1 229 2 1 0 0 7 99 7.24 1 1
2 229 2 1 0 0 6 86 8.01 1 1
3 229 2 1 0 0 2 26 2.76 0 1
4 229 2 1 0 0 13 202 3.09 0 1
5 229 2 1 0 0 18 284 1.92 0 1
6 229 2 1 0 0 30 466 2.9 0 1
7 229 2 1 0 0 15 238 3.31 0 1
8 229 2 1 0 0 3 33 2.97 0 1
9 229 2 1 0 0 20 314 1.94 0 1
10 229 2 1 0 0 2 24 2.31 0 1
11 229 2 1 0 0 1 4 3.18 0 1
12 229 2 1 0 0 15 227 2.67 0 1
13 229 2 1 0 0 17 258 2.89 0 1
14 229 2 1 0 0 15 226 3.2 0 1
15 229 2 1 0 0 29 456 1.5 0 1
16 229 2 1 0 0 9 142 3.22 0 1
17 229 2 1 0 0 20 308 2.2 0 1
18 229 2 1 0 0 4 50 2.73 0 1
19 229 2 1 0 0 9 141 3.12 0 1
20 229 2 1 0 0 13 206 3.41 0 1
21 229 2 1 0 0 28 445 7.58 1 1
22 229 2 1 0 0 25 385 1.43 0 1
23 229 2 1 0 0 4 60 2.6 0 1
24 229 2 1 0 0 3 42 2.84 0 1
25 229 2 1 0 0 25 391 1.73 0 1
26 229 2 1 0 0 1 9 2.49 0 1
27 229 2 1 0 0 18 287 2.19 0 1
28 229 2 1 0 0 17 269 2.8 0 1
29 229 2 1 0 0 10 152 1.38 0 1
30 229 2 1 0 0 29 459 1.82 0 1
31 229 2 1 0 0 2 29 2.68 0 1
32 229 2 1 0 0 30 471 2.73 0 1
33 229 2 1 0 0 7 107 7.11 1 1
34 229 2 1 0 0 25 400 1.71 0 1
35 229 2 1 0 0 9 129 3.25 0 1
36 229 2 1 0 0 24 382 6.86 1 1
37 229 2 1 0 0 23 365 6.57 1 1
38 229 2 1 0 0 4 62 2.95 0 1
39 229 2 1 0 0 13 207 3.11 0 1
40 229 2 1 0 0 29 452 1.8 0 1
41 229 2 1 0 0 18 279 1.97 0 1
42 229 2 1 0 0 20 318 2.58 0 1
43 229 2 1 0 0 1 3 3.17 0 1
44 229 2 1 0 0 30 467 1.95 0 1
45 229 2 1 0 0 8 125 7.28 1 1
46 229 2 1 0 0 28 447 7.79 1 1
47 229 2 1 0 0 10 149 3.02 0 1
48 229 2 1 0 0 3 47 3.05 0 1
49 229 2 1 0 0 10 154 2.88 0 1
50 229 2 1 0 0 17 261 2.14 0 1
51 229 2 1 0 0 10 149 3.02 0 1
52 229 2 1 0 0 17 258 2.89 0 1
53 229 2 1 0 0 25 391 1.73 0 1
54 229 2 1 0 0 29 456 1.5 0 1
55 229 2 1 0 0 4 50 2.73 0 1
56 229 2 1 0 0 3 42 2.84 0 1
57 229 2 1 0 0 30 471 2.73 0 1
58 229 2 1 0 0 7 107 7.11 1 1
59 229 2 1 0 0 9 141 3.12 0 1
60 229 2 1 0 0 15 226 3.2 0 1
61 229 2 1 0 0 1 9 2.49 0 1
62 229 2 1 0 0 15 227 2.67 0 1
63 229 2 1 0 0 18 279 1.97 0 1
64 229 2 1 0 0 10 152 1.38 0 1
65 229 2 1 0 0 17 261 2.14 0 1
66 229 2 1 0 0 4 60 2.6 0 1
67 229 2 1 0 0 1 3 3.17 0 1
68 229 2 1 0 0 24 382 6.86 1 1
69 229 2 1 0 0 4 62 2.95 0 1
70 229 2 1 0 0 10 154 2.88 0 1
71 229 2 1 0 0 1 4 3.18 0 1
72 229 2 1 0 0 7 99 7.24 1 1
73 229 2 1 0 0 18 287 2.19 0 1
74 229 2 1 0 0 17 269 2.8 0 1
75 229 2 1 0 0 23 365 6.57 1 1
76 229 2 1 0 0 20 314 1.94 0 1
77 229 2 1 0 0 25 385 1.43 0 1
78 229 2 1 0 0 28 447 7.79 1 1
79 229 2 1 0 0 20 308 2.2 0 1
80 229 2 1 0 0 3 33 2.97 0 1
81 229 2 1 0 0 8 125 7.28 1 1
82 229 2 1 0 0 20 318 2.58 0 1
83 229 2 1 0 0 2 29 2.68 0 1
84 229 2 1 0 0 2 26 2.76 0 1
85 229 2 1 0 0 3 47 3.05 0 1
86 229 2 1 0 0 29 452 1.8 0 1
87 229 2 1 0 0 18 284 1.92 0 1
88 229 2 1 0 0 9 129 3.25 0 1
89 229 2 1 0 0 13 207 3.11 0 1
90 229 2 1 0 0 30 466 2.9 0 1
91 229 2 1 0 0 25 400 1.71 0 1
92 229 2 1 0 0 29 459 1.82 0 1
93 229 2 1 0 0 13 202 3.09 0 1
94 229 2 1 0 0 15 238 3.31 0 1
95 229 2 1 0 0 13 206 3.41 0 1
96 229 2 1 0 0 9 142 3.22 0 1
97 229 2 1 0 0 30 467 1.95 0 1
98 229 2 1 0 0 2 24 2.31 0 1
