image_id,Broad_Category_Name,Category,Category_Name,Item,Distinct_Rating,Group1,Group2,image_png
163,M,11,Amphibolite,3,6.58,Target,Foil,M_Amphibolite_03.png
172,M,11,Amphibolite,12,5.62,Foil,Target,M_Amphibolite_12.png
168,M,11,Amphibolite,8,4.89,Target,Foil,M_Amphibolite_08.png
169,M,11,Amphibolite,9,3.83,Foil,Target,M_Amphibolite_09.png
174,M,11,Amphibolite,14,3.65,Target,Foil,M_Amphibolite_14.png
165,M,11,Amphibolite,5,3.59,Foil,Target,M_Amphibolite_05.png
164,M,11,Amphibolite,4,2.89,Target,Foil,M_Amphibolite_04.png
166,M,11,Amphibolite,6,2.8,Foil,Target,M_Amphibolite_06.png
180,M,12,Anthracite,4,6.25,Foil,Target,M_Anthracite_04.png
188,M,12,Anthracite,12,5.69,Target,Foil,M_Anthracite_12.png
186,M,12,Anthracite,10,5.19,Foil,Target,M_Anthracite_10.png
189,M,12,Anthracite,13,4.81,Target,Foil,M_Anthracite_13.png
181,M,12,Anthracite,5,4.71,Foil,Target,M_Anthracite_05.png
191,M,12,Anthracite,15,4.62,Target,Foil,M_Anthracite_15.png
190,M,12,Anthracite,14,4.36,Foil,Target,M_Anthracite_14.png
183,M,12,Anthracite,7,4.27,Target,Foil,M_Anthracite_07.png
193,M,13,Gneiss,1,4.54,Target,Foil,M_Gneiss_01.png
204,M,13,Gneiss,12,4.52,Foil,Target,M_Gneiss_12.png
194,M,13,Gneiss,2,3.75,Target,Foil,M_Gneiss_02.png
200,M,13,Gneiss,8,3.69,Foil,Target,M_Gneiss_08.png
195,M,13,Gneiss,3,3.63,Target,Foil,M_Gneiss_03.png
206,M,13,Gneiss,14,3.41,Foil,Target,M_Gneiss_14.png
207,M,13,Gneiss,15,3.11,Target,Foil,M_Gneiss_15.png
202,M,13,Gneiss,10,3.09,Foil,Target,M_Gneiss_10.png
221,M,14,Hornfels,13,3.2,Foil,Target,M_Hornfels_13.png
213,M,14,Hornfels,5,3.12,Target,Foil,M_Hornfels_05.png
216,M,14,Hornfels,8,2.9,Foil,Target,M_Hornfels_08.png
218,M,14,Hornfels,10,2.88,Target,Foil,M_Hornfels_10.png
214,M,14,Hornfels,6,2.66,Foil,Target,M_Hornfels_06.png
220,M,14,Hornfels,12,2.62,Target,Foil,M_Hornfels_12.png
222,M,14,Hornfels,14,2.3,Foil,Target,M_Hornfels_14.png
212,M,14,Hornfels,4,2.22,Target,Foil,M_Hornfels_04.png
239,M,15,Marble,15,6.35,Target,Foil,M_Marble_15.png
232,M,15,Marble,8,4.35,Foil,Target,M_Marble_08.png
225,M,15,Marble,1,4.1,Target,Foil,M_Marble_01.png
229,M,15,Marble,5,4.1,Foil,Target,M_Marble_05.png
237,M,15,Marble,13,3.8,Target,Foil,M_Marble_13.png
231,M,15,Marble,7,3.77,Foil,Target,M_Marble_07.png
226,M,15,Marble,2,3.2,Target,Foil,M_Marble_02.png
228,M,15,Marble,4,3.15,Foil,Target,M_Marble_04.png
255,M,16,Migmatite,15,5.37,Foil,Target,M_Migmatite_15.png
244,M,16,Migmatite,4,5.07,Target,Foil,M_Migmatite_04.png
246,M,16,Migmatite,6,4.63,Foil,Target,M_Migmatite_06.png
254,M,16,Migmatite,14,4.62,Target,Foil,M_Migmatite_14.png
245,M,16,Migmatite,5,4.03,Foil,Target,M_Migmatite_05.png
252,M,16,Migmatite,12,4.03,Target,Foil,M_Migmatite_12.png
249,M,16,Migmatite,9,3.84,Foil,Target,M_Migmatite_09.png
243,M,16,Migmatite,3,3.7,Target,Foil,M_Migmatite_03.png
257,M,17,Phyllite,1,5.54,Target,Foil,M_Phyllite_01.png
260,M,17,Phyllite,4,4.37,Foil,Target,M_Phyllite_04.png
268,M,17,Phyllite,12,3.83,Target,Foil,M_Phyllite_12.png
267,M,17,Phyllite,11,3.56,Foil,Target,M_Phyllite_11.png
262,M,17,Phyllite,6,3.03,Target,Foil,M_Phyllite_06.png
265,M,17,Phyllite,9,2.96,Foil,Target,M_Phyllite_09.png
266,M,17,Phyllite,10,2.6,Target,Foil,M_Phyllite_10.png
263,M,17,Phyllite,7,2.59,Foil,Target,M_Phyllite_07.png
